GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deustostream-api-app,com.example.restapi.config,InicializarDatos,459,0,0,0,79,0,2,0,2,0
deustostream-api-app,com.example.restapi.config,LoginInterceptor,63,0,22,0,13,0,13,0,2,0
deustostream-api-app,com.example.restapi.config,WebConfig,53,0,2,0,6,0,3,0,2,0
deustostream-api-app,com.example.restapi.client,WebController,10,953,5,67,0,223,5,67,0,36
deustostream-api-app,com.example.restapi,RestApiApplication,5,3,0,0,2,1,1,1,1,1
deustostream-api-app,com.example.restapi.controller,DeustoStreamController,101,435,7,37,27,100,7,45,3,27
deustostream-api-app,com.example.restapi.controller,MobileLoginController,0,17,0,0,0,6,0,2,0,2
deustostream-api-app,com.example.restapi.controller,QrLoginController,26,57,2,4,7,17,2,5,1,3
deustostream-api-app,com.example.restapi.controller,GenerosController,0,9,0,0,0,4,0,2,0,2
deustostream-api-app,com.example.restapi.controller,QrStatusController,5,6,0,0,1,3,1,1,1,1
deustostream-api-app,com.example.restapi.model,Generos,0,81,0,0,0,14,0,1,0,1
deustostream-api-app,com.example.restapi.model,Valoracion,10,183,5,9,0,48,5,21,0,19
deustostream-api-app,com.example.restapi.model,Usuario,39,164,0,10,15,45,8,24,8,19
deustostream-api-app,com.example.restapi.model,Capitulo,0,48,0,0,0,19,0,11,0,11
deustostream-api-app,com.example.restapi.model,Series,0,185,0,18,0,46,0,32,0,23
deustostream-api-app,com.example.restapi.model,Pelicula,0,154,1,13,0,39,1,25,0,19
deustostream-api-app,com.example.restapi.model,Perfil,0,179,0,16,0,38,0,28,0,20
deustostream-api-app,com.example.restapi.service,AuthService,0,109,0,8,0,30,0,9,0,5
deustostream-api-app,com.example.restapi.service,QrLoginService,0,57,0,0,0,14,0,5,0,5
deustostream-api-app,com.example.restapi.service,DeustoStreamService,10,824,14,82,0,183,14,69,0,35
